exit_n,time,run
150,46.49999999999843,5
151,47.124999999998394,5
152,47.42499999999838,5
153,47.84999999999835,5
154,48.24999999999833,5
155,48.349999999998325,5
156,48.7999999999983,5
157,49.12499999999828,5
158,49.47499999999826,5
159,49.87499999999824,5
160,50.22499999999822,5
161,50.24999999999822,5
162,50.5249999999982,5
163,50.999999999998174,5
164,51.29999999999816,5
165,51.874999999998124,5
166,51.874999999998124,5
167,51.94999999999812,5
168,52.2749999999981,5
169,52.62499999999808,5
170,53.29999999999804,5
171,53.32499999999804,5
172,53.72499999999802,5
173,54.17499999999799,5
174,54.39999999999798,5
175,54.52499999999797,5
176,55.07499999999794,5
177,55.34999999999793,5
178,55.724999999997905,5
179,55.99999999999789,5
180,56.14999999999788,5
181,56.799999999997844,5
182,56.799999999997844,5
183,56.84999999999784,5
184,57.474999999997806,5
185,57.6249999999978,5
186,57.72499999999779,5
187,58.374999999997755,5
188,58.39999999999775,5
189,58.92499999999772,5
190,59.049999999997716,5
191,59.599999999997685,5
192,59.72499999999768,5
193,60.324999999997644,5
194,60.674999999997624,5
195,60.69999999999762,5
196,61.42499999999758,5
197,62.14999999999754,5
198,62.224999999997536,5
199,62.949999999997495,5
0,1.0500000000000003,6
1,1.2999999999999994,6
2,2.4499999999999953,6
3,2.574999999999995,6
4,2.799999999999994,6
5,3.2249999999999925,6
6,3.649999999999991,6
7,4.099999999999991,6
8,4.75,6
9,4.975000000000003,6
10,5.125000000000005,6
11,5.875000000000016,6
12,6.350000000000023,6
13,6.600000000000026,6
14,6.750000000000028,6
15,6.87500000000003,6
16,7.500000000000039,6
17,7.725000000000042,6
18,8.050000000000047,6
19,8.075000000000047,6
20,8.575000000000054,6
21,8.850000000000058,6
22,9.225000000000064,6
23,9.600000000000069,6
24,9.800000000000072,6
25,10.300000000000079,6
26,10.450000000000081,6
27,10.450000000000081,6
28,10.550000000000082,6
29,11.200000000000092,6
30,11.450000000000095,6
31,11.650000000000098,6
32,11.950000000000102,6
33,12.375000000000108,6
34,12.55000000000011,6
35,12.700000000000113,6
36,13.350000000000122,6
37,13.500000000000124,6
38,13.500000000000124,6
39,14.100000000000133,6
40,14.62500000000014,6
41,14.925000000000145,6
42,14.950000000000145,6
43,15.500000000000153,6
44,15.675000000000155,6
45,15.900000000000158,6
46,16.075000000000156,6
47,16.425000000000136,6
48,16.825000000000113,6
49,16.950000000000106,6
50,17.60000000000007,6
51,17.75000000000006,6
52,17.75000000000006,6
53,18.500000000000018,6
54,18.550000000000015,6
55,18.675000000000008,6
56,19.199999999999978,6
57,19.299999999999972,6
58,19.374999999999968,6
59,20.02499999999993,6
60,20.149999999999924,6
61,20.22499999999992,6
62,20.874999999999883,6
63,20.874999999999883,6
64,21.44999999999985,6
65,21.549999999999844,6
66,21.899999999999824,6
67,22.17499999999981,6
68,22.799999999999773,6
69,22.824999999999772,6
70,22.84999999999977,6
71,23.424999999999738,6
72,23.599999999999728,6
73,23.674999999999724,6
74,24.224999999999692,6
75,24.349999999999685,6
76,24.42499999999968,6
77,25.024999999999647,6
78,25.249999999999634,6
79,25.424999999999624,6
80,25.899999999999597,6
81,25.99999999999959,6
82,26.249999999999577,6
83,26.849999999999543,6
84,26.999999999999535,6
85,27.04999999999953,6
86,27.24999999999952,6
87,27.849999999999486,6
88,27.899999999999483,6
89,28.099999999999472,6
90,28.47499999999945,6
91,28.874999999999428,6
92,28.924999999999425,6
93,29.324999999999402,6
94,29.449999999999395,6
95,29.87499999999937,6
96,30.27499999999935,6
97,30.349999999999344,6
98,30.649999999999327,6
99,30.849999999999316,6
100,31.47499999999928,6
101,31.899999999999256,6
102,32.174999999999244,6
103,32.24999999999924,6
